clock_model,strong_to_weak_ratio,range_information,angle_degrees,prior_weak_variance,posterior_weak_variance,relative_variance_reduction
random_walk,1000.0,1.0,30.0,4.01,0.760938702838,0.810239724978
random_walk,1000.0,1.0,45.0,4.01,1.004736354327,0.749442305654
random_walk,1000.0,1.0,60.0,4.01,1.537476993314,0.616589278475
random_walk,1000.0,1.0,75.0,4.01,2.734457055473,0.318090509857
random_walk,1000.0,1.0,90.0,4.01,4.01,0.0
random_walk,1000.0,10.0,0.0,4.01,0.091607978092,0.977155117683
random_walk,1000.0,10.0,15.0,4.01,0.098631858348,0.975403526596
random_walk,1000.0,10.0,30.0,4.01,0.123643120073,0.969166304221
random_walk,1000.0,10.0,45.0,4.01,0.183945821153,0.954128224151
random_walk,1000.0,10.0,60.0,4.01,0.343579395749,0.914319352681
random_walk,1000.0,10.0,75.0,4.01,0.957443623635,0.761236004081
random_walk,1000.0,10.0,90.0,4.01,4.01,0.0
bias_drift,10.0,0.1,0.0,4.01,2.348347500305,0.414377181969
bias_drift,10.0,0.1,15.0,4.01,2.416897934035,0.397282310714
bias_drift,10.0,0.1,30.0,4.01,2.624874076414,0.345417936056
bias_drift,10.0,0.1,45.0,4.01,2.970393660424,0.259253451266
bias_drift,10.0,0.1,60.0,4.01,3.415118853054,0.148349413204
bias_drift,10.0,0.1,75.0,4.01,3.83169699721,0.044464589224
bias_drift,10.0,0.1,90.0,4.01,4.01,0.0
bias_drift,10.0,1.0,0.0,4.01,0.617655571635,0.845971179143
bias_drift,10.0,1.0,15.0,4.01,0.670446234042,0.832806425426
bias_drift,10.0,1.0,30.0,4.01,0.848011873551,0.788525717319
bias_drift,10.0,1.0,45.0,4.01,1.219866244718,0.695793953936
bias_drift,10.0,1.0,60.0,4.01,1.937432526547,0.516849744003
bias_drift,10.0,1.0,75.0,4.01,3.142048296784,0.216446808782
bias_drift,10.0,1.0,90.0,4.01,4.01,0.0
bias_drift,10.0,10.0,0.0,4.01,0.091607978092,0.977155117683
bias_drift,10.0,10.0,15.0,4.01,0.125532452919,0.968695148898
bias_drift,10.0,10.0,30.0,4.01,0.244025438438,0.93914577595
bias_drift,10.0,10.0,45.0,4.01,0.514475479772,0.871701875369
bias_drift,10.0,10.0,60.0,4.01,1.129949669445,0.718217040039
bias_drift,10.0,10.0,75.0,4.01,2.535020828912,0.367825229698
bias_drift,10.0,10.0,90.0,4.01,4.01,0.0
bias_drift,100.0,0.1,0.0,4.01,2.348347500305,0.414377181969
bias_drift,100.0,0.1,15.0,4.01,2.412490165115,0.398381504959
bias_drift,100.0,0.1,30.0,4.01,2.609239328041,0.3493168758
bias_drift,100.0,0.1,45.0,4.01,2.943507361787,0.265958263893
bias_drift,100.0,0.1,60.0,4.01,3.388116605081,0.155083140877
bias_drift,100.0,0.1,75.0,4.01,3.820199503293,0.04733179469
bias_drift,100.0,0.1,90.0,4.01,4.01,0.0
bias_drift,100.0,1.0,0.0,4.01,0.617655571635,0.845971179143
bias_drift,100.0,1.0,15.0,4.01,0.65192296961,0.837425693364
bias_drift,100.0,1.0,30.0,4.01,0.769054949557,0.808215723303
bias_drift,100.0,1.0,45.0,4.01,1.025676770532,0.744220256725
bias_drift,100.0,1.0,60.0,4.01,1.580212427006,0.605932063091
bias_drift,100.0,1.0,75.0,4.01,2.786924925242,0.305006253057
bias_drift,100.0,1.0,90.0,4.01,4.01,0.0
bias_drift,100.0,10.0,0.0,4.01,0.091607978092,0.977155117683
